0;16;70.0
0;19;100.0
0;84;100.0
0;76;40.0
0;27;100.0
0;21;70.0
0;83;70.0
0;4;100.0
0;38;70.0
1;81;10.0
1;94;0.0
2;18;70.0
2;29;70.0
2;65;100.0
2;9;70.0
3;66;100.0
3;91;40.0
4;43;70.0
4;14;70.0
4;26;0.0
4;46;70.0
4;49;40.0
5;86;0.0
5;75;70.0
5;0;70.0
6;67;100.0
6;51;100.0
6;47;100.0
6;7;100.0
7;55;10.0
7;74;40.0
7;54;40.0
8;24;100.0
8;30;100.0
8;58;100.0
8;1;100.0
8;50;100.0
9;3;70.0
9;88;100.0
9;97;100.0
9;6;100.0
10;51;100.0
11;57;100.0
11;5;100.0
11;29;70.0
12;69;70.0
12;12;40.0
12;34;70.0
12;72;100.0
13;55;10.0
13;80;10.0
14;95;70.0
14;82;10.0
14;100;70.0
14;15;100.0
15;24;100.0
15;63;100.0
15;58;100.0
15;50;100.0
15;60;100.0
15;11;100.0
16;72;100.0
16;12;40.0
17;38;70.0
17;32;10.0
17;56;40.0
17;36;100.0
17;79;70.0
17;89;100.0
18;91;40.0
18;64;70.0
18;35;100.0
18;73;100.0
18;40;70.0
19;65;100.0
19;9;70.0
19;29;70.0
19;18;70.0
20;43;70.0
20;48;100.0
21;17;0.0
21;77;70.0
21;61;40.0
22;35;100.0
22;39;10.0
23;48;100.0
24;59;10.0
24;86;0.0
25;31;100.0
25;33;100.0
25;54;40.0
26;8;70.0
26;78;70.0
27;23;40.0
27;61;40.0
27;77;70.0
27;17;0.0
28;99;70.0
28;40;70.0
28;64;70.0
28;41;100.0
28;92;100.0
28;44;100.0
29;43;70.0
29;58;100.0
29;24;100.0
29;78;70.0
29;39;10.0
29;59;10.0
29;50;100.0
30;63;100.0
30;50;100.0
31;14;70.0
31;26;0.0
31;82;10.0
31;28;10.0
31;22;40.0
31;68;10.0
31;43;70.0
31;71;0.0
31;46;70.0
31;49;40.0
32;39;10.0
32;55;10.0
32;74;40.0
32;77;70.0
32;37;10.0
33;69;70.0
34;49;40.0
34;22;40.0
34;85;40.0
34;82;10.0
34;28;10.0
34;62;10.0
35;9;70.0
35;29;70.0
35;55;10.0
35;87;40.0
35;5;100.0
35;45;100.0
35;97;100.0
35;96;100.0
35;52;70.0
35;65;100.0
36;48;100.0
36;32;10.0
36;81;10.0
36;94;0.0
37;32;10.0
37;90;10.0
38;24;100.0
38;50;100.0
38;58;100.0
39;69;70.0
39;52;70.0
39;87;40.0
39;55;10.0
39;45;100.0
40;75;70.0
40;20;100.0
40;51;100.0
40;93;100.0
40;67;100.0
40;42;100.0
40;70;100.0
41;40;70.0
41;64;70.0
41;44;100.0
42;19;100.0
42;21;70.0
42;53;10.0
42;10;10.0
42;4;100.0
43;20;100.0
43;75;70.0
43;93;100.0
44;25;100.0
44;59;10.0
44;42;100.0
45;2;70.0
45;13;100.0
45;77;70.0
46;47;100.0
46;67;100.0
46;7;100.0
46;51;100.0
46;98;100.0
47;14;70.0
47;26;0.0
47;46;70.0
47;71;0.0
47;49;40.0
48;41;100.0
48;44;100.0
49;80;10.0
49;87;40.0
49;55;10.0
